Date,Open,High,Low,Close,Volume,Open Interest
6/15/2018 0:00,1012.71,1018.95,1006.75,1016.51,1.45E+08,66916
6/18/2018 0:00,1015.56,1018.98,986.88,987.34,1.46E+08,91499
6/19/2018 0:00,972.38,972.62,941.57,962.16,2.04E+08,117792
6/20/2018 0:00,957.37,980.95,955.61,980.95,1.20E+08,70228
6/21/2018 0:00,979.57,979.57,966.28,969.4,9.35E+07,58752
6/22/2018 0:00,963.89,983.57,959.91,983.17,1.03E+08,64925
6/25/2018 0:00,997.34,997.34,988.98,990.52,1.18E+08,63873
6/26/2018 0:00,977.78,983.78,970.75,983.02,1.15E+08,60930
6/27/2018 0:00,981.44,984.46,968.91,968.91,1.27E+08,70510
6/28/2018 0:00,964.76,976.12,954.46,957.35,1.30E+08,79269
6/29/2018 0:00,955.64,962.93,950.48,960.78,1.10E+08,62486
7/2/2018 0:00,955.18,956.78,932.66,947.15,1.42E+08,83518
7/3/2018 0:00,945.87,946.16,906.01,906.01,1.61E+08,92124
7/4/2018 0:00,904.34,914.99,890.83,914.99,1.16E+08,73525
7/5/2018 0:00,914.48,921.85,892.67,899.4,1.27E+08,76373
7/6/2018 0:00,891.16,921.75,884.99,917.51,1.42E+08,81788
7/9/2018 0:00,922.72,929.5,915.12,915.12,1.06E+08,66695
7/10/2018 0:00,919.44,921.96,911.12,911.12,9.31E+07,56881
7/11/2018 0:00,898.08,900.16,885.09,893.16,1.38E+08,76852
7/12/2018 0:00,891.21,905.72,884.75,898.51,9.05E+07,56753
7/13/2018 0:00,904.8,912.53,899.94,909.72,1.22E+08,67147
7/16/2018 0:00,914.22,917.63,905.27,911.11,1.11E+08,66171
7/17/2018 0:00,905.32,921.27,902.02,921.27,1.36E+08,79441
7/18/2018 0:00,926.14,942.39,926.14,942.39,1.85E+08,95649
7/19/2018 0:00,943.91,947.07,939.58,943.97,1.67E+08,91792
7/20/2018 0:00,938.83,941.94,930.26,933.39,1.79E+08,88944
7/23/2018 0:00,931.52,949.14,930.25,936.74,1.90E+08,94874
7/24/2018 0:00,933.22,939.07,926.3,934.08,1.70E+08,88378
7/25/2018 0:00,936.57,938.33,927.58,927.58,2.02E+08,94361
7/26/2018 0:00,928.96,930.32,920.99,930.16,1.75E+08,85306
7/27/2018 0:00,931.9,937.23,928.82,935.52,1.63E+08,82970
7/30/2018 0:00,940.76,949.73,937.69,949.73,1.84E+08,91532
7/31/2018 0:00,948.56,959.07,947.32,956.39,2.35E+08,112627
8/1/2018 0:00,957.35,960.05,949.89,952.77,1.81E+08,90499
8/2/2018 0:00,952.75,953.55,942.39,953.55,1.98E+08,93846
8/3/2018 0:00,957.92,966.1,955.13,959.6,1.66E+08,90560
8/6/2018 0:00,960.12,962.99,955.42,960.23,1.54E+08,80670
8/7/2018 0:00,957.7,962.02,953.71,956.79,1.38E+08,83520
8/8/2018 0:00,958.31,966.27,958.31,966.27,1.41E+08,82481
8/9/2018 0:00,968.57,972.52,963.5,963.5,1.56E+08,91935
8/10/2018 0:00,962.03,968.47,955.04,968.47,1.71E+08,88030
8/13/2018 0:00,966.46,978.04,963.41,978.04,1.78E+08,103686
8/14/2018 0:00,979.66,981.42,974.47,978.27,1.50E+08,90880
8/15/2018 0:00,980.45,982,961.37,961.37,1.71E+08,100284
8/16/2018 0:00,952.83,964.28,947.09,964.28,1.56E+08,91348
8/17/2018 0:00,971.4,975.52,968.88,968.88,1.36E+08,77152
8/20/2018 0:00,970.81,973.57,966.46,969.62,1.60E+08,89609
8/21/2018 0:00,968.46,979.21,968.45,979.21,1.66E+08,90086
8/22/2018 0:00,984,986.36,980.32,982.15,1.65E+08,92227
8/23/2018 0:00,984.12,989.45,982.48,987.36,1.37E+08,77385
8/24/2018 0:00,985.49,989.21,982.88,987.05,1.55E+08,86648
8/27/2018 0:00,990.19,994.54,990.03,991.92,1.73E+08,93304
8/28/2018 0:00,993.95,995.29,989.81,995.19,1.60E+08,90193
8/29/2018 0:00,995.05,995.05,987.47,988.17,1.48E+08,86090
